query_id,query,primary_scene,secondary_scene,query_style,expected_content_type,priority,confidence,keep_or_review,planned_test_type,selected_reason,likely_recall_challenge,likely_filtering_challenge,content_gap_hypothesis
q001,Love and Deepspace card pack design,文创,营销电商,Pinterest-like,card pack,P0,medium,keep,content_gap,P0&keep主池代表样本：文创场景「二次元同人」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「Love and Deepspace」是圈层专有名词，若Curify语料未覆盖该IP，召回可能为0或退化为泛化二次元素材,需区分官方立绘/物料 vs 粉丝同人二创风格，过滤精度要求高,「Love and Deepspace」相关的细分同人内容素材可能很薄或完全空白
q002,NCT Dream photocard template,文创,营销电商,Canva-template-like,card template,P0,medium,keep,content_gap,P0&keep主池代表样本：文创场景「二次元同人」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「photocard」是圈层专有名词，若Curify语料未覆盖该IP，召回可能为0或退化为泛化二次元素材,需区分官方立绘/物料 vs 粉丝同人二创风格，过滤精度要求高,「photocard」相关的细分同人内容素材可能很薄或完全空白
q003,blind box toy character sticker sheet,文创,营销电商,Pinterest-like,sticker sheet,P0,high,keep,both,P0&keep主池代表样本：文创场景「通用（无细分子领域）」子领域的代表query，confidence=high（有具体外部信号佐证，确定性最高），入选以保证该子领域在gold set中有覆盖,「sticker sheet」多角色成套排版格式，与单张贴纸素材的召回逻辑不同,需区分单角色素材 vs 成套排版设计,成套排版类内容形态可能缺失
q004,dreamcore aesthetic moodboard,文创,品牌,Liblib-like,illustration/reference,P0,medium,keep,recall,P0&keep主池代表样本：文创场景「AI绘画风格黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,质感/风格形容词(「dreamcore」)作为核心限定，Curify的标签体系可能没有覆盖这一风格维度,需按风格/质感维度过滤，而非仅按主体品类过滤,风格化标签体系(而非品类标签)可能是Curify内容分类的结构性缺口
q005,dress to impress historical royalty outfit inspo,文创,营销电商,Pinterest-like,moodboard/outfit reference,P0,medium,keep,filtering,P0&keep主池代表样本：文创场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「打扮得体」字面义 vs 游戏名双重语义，Curify可能误判为职场穿搭建议而非Roblox游戏coord灵感图,需区分游戏内穿搭coord图 vs 真实历史服装参考图，意图容易混淆,Z世代游戏亚文化穿搭灵感图可能被误分类
q006,genshin impact Furina fanart wallpaper 4k,文创,,Pinterest-like,wallpaper/fanart,P0,high,keep,both,P0&keep主池代表样本：文创场景「通用（无细分子领域）」子领域的代表query，confidence=high（有具体外部信号佐证，确定性最高），入选以保证该子领域在gold set中有覆盖,角色专有名词，若embedding对小众游戏角色名理解弱，可能召回空或错误角色,需区分官方立绘 vs 同人二创风格,具体游戏角色的同人内容库可能很薄
q007,meme格式国风梗图模板,文创,营销电商,Xiaohongshu-like,meme template,P0,medium,keep,filtering,P0&keep主池代表样本：文创场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「梗图」是特定网络传播格式(图+叠字文案)，与普通插画的排版逻辑完全不同,需区分梗图模板(留白排版给文字) vs 普通完整插画,梗图这一内容形态可能被完全归类为普通插画，丢失格式特征
q008,weirdcore aesthetic sticker design,文创,品牌,Liblib-like,illustration/reference,P0,medium,keep,recall,P0&keep主池代表样本：文创场景「AI绘画风格黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,质感/风格形容词(「weirdcore」)作为核心限定，Curify的标签体系可能没有覆盖这一风格维度,需按风格/质感维度过滤，而非仅按主体品类过滤,风格化标签体系(而非品类标签)可能是Curify内容分类的结构性缺口
q009,低饱和国风茶包装设计,文创,品牌,Liblib-like,packaging,P0,medium,keep,both,P0&keep主池代表样本：文创场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「低饱和」是风格形容词而非品类词，Curify若不能理解色彩风格修饰词，可能忽略该限定召回泛化国风包装,需按色彩饱和度过滤，当前系统可能无此维度,按色彩风格(而非品类/形态)过滤的能力可能缺失
q010,光与夜之恋 卡面设计参考图,文创,营销电商,Pinterest-like,card design reference,P0,medium,keep,content_gap,P0&keep主池代表样本：文创场景「二次元同人」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「光与夜之恋」是圈层专有名词，若Curify语料未覆盖该IP，召回可能为0或退化为泛化二次元素材,需区分官方立绘/物料 vs 粉丝同人二创风格，过滤精度要求高,「光与夜之恋」相关的细分同人内容素材可能很薄或完全空白
