query_id,query,run_variant,ok,http_status,total_results,inspiration_count,matched_template_count,gallery_prompt_count,zero_result,low_result,rewrite_triggered,relevance_label,relevance_score,primary_failure_reason,semantic_drift,original_intent_preserved,judgeable_count,relevant_count,partial_count,irrelevant_count,top5_titles
V001,玩具,production_baseline_2026-07-21,true,200,21,15,6,0,false,false,false,FAIL,2,HIGH_IRRELEVANT_RATE,MINOR,PARTIALLY,5,0,1,4,"[""camera"",""computer"",""game console"",""music player"",""tv""]"
V002,toy,production_baseline_2026-07-21,true,200,14,11,3,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,MODERATE,NO,5,0,1,4,"[""camera"",""computer"",""game console"",""music player"",""tv""]"
V003,手办,production_baseline_2026-07-21,true,200,193,80,113,0,false,false,true,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""akira toriyama"",""eiichiro oda"",""makoto shinkai"",""masashi kishimoto"",""rumiko takahashi""]"
V004,figure,production_baseline_2026-07-21,true,200,92,80,12,0,false,false,false,PASS,80,,MINOR,PARTIALLY,5,3,2,0,"[""chinese figure fengshenbang"",""chinese figure mudan ting"",""chinese figure water margin"",""eight immortals"",""twelve beauties jinling 2""]"
V005,毛绒玩具,production_baseline_2026-07-21,true,200,9,5,4,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""woody buzz toy story"",""fruits"",""jing di zhi wa 1"",""shou zhu dai tu 1"",""affect converse skied""]"
V006,plush,production_baseline_2026-07-21,true,200,6,3,3,0,false,false,true,FAIL,15,SEVERE_DRIFT_INTENT_LOST,SEVERE,NO,1,0,1,0,"[""shou zhu dai tu 1"",""affect converse skied"",""woody buzz toy story""]"
V007,娃娃,production_baseline_2026-07-21,true,200,3,1,2,0,false,true,true,PARTIAL,42,,MINOR,PARTIALLY,1,0,1,0,"[""woody buzz toy story""]"
V008,doll,production_baseline_2026-07-21,true,200,5,4,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,4,0,0,4,"[""busan boogi duck"",""curi ai robot keyring mug notebook pen set"",""boogi alpaca"",""ancient bronze beast merchandise collection""]"
V009,吉祥物,production_baseline_2026-07-21,true,200,43,34,9,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""brain"",""heart"",""liver"",""lungs"",""stomach""]"
V010,mascot,production_baseline_2026-07-21,true,200,53,42,11,0,false,false,false,PASS,55,,MINOR,PARTIALLY,5,2,3,0,"[""graduation alpaca"",""empress cow cat"",""vietnamese orange cat"",""coca cola fizz"",""curify ai curi""]"
V011,卡通形象,production_baseline_2026-07-21,true,200,15,9,6,0,false,false,false,PARTIAL,10,,MINOR,PARTIALLY,5,1,1,3,"[""covid anxiety emotion"",""sleep disorder guide"",""sugar free food misunderstanding"",""carnage"",""adventurer max""]"
V012,character,production_baseline_2026-07-21,true,200,0,0,0,0,true,false,false,FAIL,0,ZERO_RESULT,NONE,NO,0,,,,[]
V013,贴纸,production_baseline_2026-07-21,true,200,80,67,13,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""adventurer max"",""artist luna"",""athlete zoe"",""child mia"",""teacher oliver""]"
V014,sticker,production_baseline_2026-07-21,true,200,78,65,13,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""brunch"",""coffee pasta"",""korean"",""thai"",""western1""]"
V015,钥匙扣,production_baseline_2026-07-21,true,200,19,16,3,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V016,keychain,production_baseline_2026-07-21,true,200,19,16,3,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
