query_id,query,human_verdict,automated_relevance_label_reference,note
V001,玩具,FAIL,PARTIAL,1. 大部分英文比中文筛选更精准，结果更好
V002,toy,PARTIAL,PARTIAL,2. 带toy结果都不好，通常只会指向玩具总动员
V003,手办,PARTIAL,FAIL,3. 所有包装、玩偶、手办、横幅、券、卡相关的结果不好
V004,figure,PASS,PASS,
V005,毛绒玩具,UNJUDGABLE,FAIL,
V006,plush,PARTIAL,FAIL,
V007,娃娃,FAIL,FAIL,
V008,doll,FAIL,FAIL,
V009,吉祥物,PASS,PASS,
V010,mascot,PASS,PASS,
V011,卡通形象,PARTIAL,PARTIAL,
V012,character,PASS,FAIL,
V013,贴纸,PARTIAL,PASS,
V014,sticker,PASS,PASS,
V015,钥匙扣,PASS,FAIL,
V016,keychain,PASS,FAIL,
V017,收藏品,FAIL,FAIL,
V018,collectible,UNJUDGABLE,PARTIAL,
V019,盲盒,FAIL,PARTIAL,
V020,blind box,FAIL,FAIL,
V021,动作人偶,PARTIAL,FAIL,
V022,action figure,PASS,UNJUDGABLE,
V023,泰迪熊,FAIL,FAIL,
V024,teddy bear,FAIL,PARTIAL,
V025,扭蛋,FAIL,FAIL,
V026,capsule toy,FAIL,FAIL,
V027,卡牌,PARTIAL,FAIL,
V028,trading card,PASS,PARTIAL,
V029,模型,PARTIAL,FAIL,
V030,model kit,PARTIAL,FAIL,
V031,雕像,FAIL,FAIL,
V032,statue,PASS,PASS,
V033,帆布袋,PASS,FAIL,
V034,tote bag,PASS,FAIL,
V035,手机壳,UNJUDGABLE,FAIL,
V036,phone case,PASS？,FAIL,
V037,徽章,FAIL,FAIL,
V038,badge,PARTIAL,FAIL,
V039,胸针,FAIL,FAIL,
V040,enamel pin,FAIL,FAIL,
V041,冰箱贴,PARTIAL,PARTIAL,
V042,magnet,PASS,FAIL,
V043,挂绳,PARTIAL?,FAIL,
V044,lanyard,PARTIAL?,FAIL,
V045,迷你手办,FAIL,PARTIAL,
V046,mini figure,PASS？,FAIL,
V047,潮流公仔,PARTIAL,PARTIAL,
V048,vinyl toy,FAIL,PARTIAL,
V049,潮流手办,UNJUDGABLE,FAIL,
V050,pop figure,UNJUDGABLE,FAIL,
V051,惊喜盒子,UNJUDGABLE,FAIL,
V052,mystery box,FAIL,FAIL,
V053,挂件,PARTIAL?,PASS,
V054,charm,FAIL,FAIL,
V055,马克杯,PASS,FAIL,
V056,collectible mug,PASS,FAIL,
V057,抱枕,PARTIAL,FAIL,
V058,plush pillow,FAIL,FAIL,
V059,拼图,FAIL,FAIL,
V060,puzzle,FAIL,FAIL,
V061,积木,FAIL,FAIL,
V062,building blocks,FAIL,FAIL,
V063,公仔盒,FAIL,PARTIAL,
V064,sticker pack,PASS,PASS,
V065,文创手办,FAIL,PARTIAL,
V066,cultural relic figure,PASS,FAIL,
V067,博物馆文创,PARTIAL,PARTIAL,
V068,museum souvenir,PARTIAL?,PARTIAL,
V069,国潮公仔,FAIL,PARTIAL,
V070,IP figure,PASS,FAIL,
V071,动漫周边,PARTIAL?,PASS,
V072,anime merch,PASS,PARTIAL,
V073,明信片套装,FAIL,FAIL,
V074,postcard set,FAIL,FAIL,
V075,艺术微喷,FAIL,FAIL,
V076,art print,PARTIAL?,PARTIAL,
V077,摇头公仔,FAIL,PARTIAL,
V078,bobblehead,FAIL,FAIL,
V079,场景模型,PARTIAL?,PARTIAL,
V080,diorama,PARTIAL?,FAIL,
V081,角色卡通贴纸,PASS,PASS,
V082,character sticker pack,PASS,PASS,
V083,标志,FAIL,FAIL,
V084,logo,PASS,PASS,
V085,包装,PASS,PASS,
V086,package,FAIL,PARTIAL,
V087,标签,FAIL,FAIL,
V088,label,FAIL,FAIL,
V089,瓶子,PASS,FAIL,
V090,bottle,PASS,PASS,
V091,菜单,PARTIAL?,PASS,
V092,menu,PARTIAL?,FAIL,
V093,名片,FAIL,FAIL,
V094,business card,FAIL,PARTIAL,
V095,产品盒,FAIL,FAIL,
V096,product box,FAIL,FAIL,
V097,咖啡包装,PARTIAL,PARTIAL,
V098,coffee package,PARTIAL,PASS,
V099,餐厅菜单,PARTIAL?,FAIL,
V100,restaurant menu,PARTIAL?,PARTIAL,
V101,香水瓶,FAIL,FAIL,
V102,perfume bottle,FAIL,FAIL,
V103,香水盒,FAIL,FAIL,
V104,perfume box,FAIL,FAIL,
V105,茶叶包装,PARTIAL?,PARTIAL,
