query_id,query,search_url,page_loaded,login_wall,visible_result_count,top_10_result_titles,top_10_result_tags_or_labels,top_10_result_types,no_result_text,auto_flags,needs_human_review,claude_relevance_label,claude_issue_type,claude_relevance_reason,claude_confidence,recommended_manual_review_priority
q001,Love and Deepspace card pack design,https://www.curify-ai.com/search?q=Love%20and%20Deepspace%20card%20pack%20design,yes,no,4,"Velociraptor — small Late Cretaceous pack hunter, feathered, sickle claw, intelligent, 2m long | High-Saturation Sports Equipment Segment Card | High-Saturation Sports Equipment Segment Card | High-Saturation Sports Equipment Segment Card", |  |  | ,inspiration | template | template | template,"Few results for “love and deepspace card pack design”. Also showing results for: deep space love card pack, cosmic romance card design, space-themed love cards",query_broadened_by_curify,yes,FAIL,bad_relevance;wrong_decomposition,"Top results (Velociraptor, generic sports equipment cards) do not match 'Love and Deepspace' card pack design intent; query appears mis-decomposed to a generic 'card' concept.",high,P0
q002,NCT Dream photocard template,https://www.curify-ai.com/search?q=NCT%20Dream%20photocard%20template,yes,no,10,academic dream of the red chamber 1 | academic dream of the red chamber 3 | academic dream of the red chamber 2 | dream career | sha wujing | sun wukong | tang seng | dna double helix | plate tectonics | dragon's blood, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “nct dream photocard template”. Also showing results for: NCT Dream photocard design, NCT Dream member template, K-pop photocard layout",query_broadened_by_curify,yes,FAIL,wrong_decomposition;bad_relevance;competitor_gap,"Results matched on the generic word 'dream' (Dream of the Red Chamber, dream career) instead of the NCT Dream K-pop IP; no photocard template content returned.",high,P0
q003,blind box toy character sticker sheet,https://www.curify-ai.com/search?q=blind%20box%20toy%20character%20sticker%20sheet,yes,no,10,brunch | coffee pasta | korean | Brazil National Team | Argentina National Team | France National Team | blessing dragon | bronze rabbit qingqing | deer travel journal | empress cow cat, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “blind box toy character sticker sheet”. Also showing results for: blind box toy sticker pack, character sticker sheet, blind box collectible stickers",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance,"Some character/IP sticker results (blessing dragon, empress cow cat, deer travel journal) are plausible sticker-sheet content, but mixed with unrelated food/sports items; no explicit blind-box or multi-character sheet format confirmed.",medium,P1
q004,dreamcore aesthetic moodboard,https://www.curify-ai.com/search?q=dreamcore%20aesthetic%20moodboard,yes,no,4,BREW & CO Coffee Shop brand identity moodboard | Golden Crust Bakery brand identity moodboard | GreenBasket Grocery brand identity moodboard | Brand Identity Moodboard Visual System Poster, |  |  | ,inspiration | inspiration | inspiration | template,"Few results for “dreamcore aesthetic moodboard”. Also showing results for: dreamcore moodboard, dreamcore aesthetic collage, dreamcore visual board",query_broadened_by_curify,yes,FAIL,wrong_decomposition;bad_relevance,"Results are generic F&B brand-identity moodboards, not 'dreamcore aesthetic' mood content; only 4 results returned.",high,P0
q005,dress to impress historical royalty outfit inspo,https://www.curify-ai.com/search?q=dress%20to%20impress%20historical%20royalty%20outfit%20inspo,yes,no,10,qing dynasty buzi | sui dynasty | ming dynasty dragon robe | vintage fashion | makoto shinkai | Denim through the decades — 1880s workwear / 1950s rock-n-roll / 1970s flares / 1990s baggy / 2000s low-rise / 2020s wide-leg | Iconic fashion eras 1920 to 2020 — flapper / 1940s utility / Dior New Look 1947 / 60s mod / 70s disco / 80s power suits / 90s minimalism / Y2K revival | outfit styling | women 3 | yi, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “dress to impress historical royalty outfit inspo”. Also showing results for: historical royalty fashion inspiration, royal outfit ideas, historical costume design",query_broadened_by_curify,yes,WARN,bad_relevance,"Historical dynasty costume and fashion-era content is topically adjacent to 'historical royalty outfit inspo', but includes an unrelated anime-director result and doesn't address the 'Dress to Impress' game context specifically.",medium,P1
q006,genshin impact Furina fanart wallpaper 4k,https://www.curify-ai.com/search?q=genshin%20impact%20Furina%20fanart%20wallpaper%204k,yes,no,6,friends | howls moving castle | neighbor totoro | Media-Themed Wallpaper Poster | Media-Themed Wallpaper Poster | Media-Themed Wallpaper Poster, |  |  |  |  | ,inspiration | inspiration | inspiration | template | template | template,"Few results for “genshin impact furina fanart wallpaper 4k”. Also showing results for: Furina Genshin Impact character art, Genshin Impact fanart wallpaper, 4K Genshin Impact Furina illustration",query_broadened_by_curify,yes,FAIL,wrong_decomposition;bad_relevance;competitor_gap,Returned Studio Ghibli film stills and generic 'media-themed wallpaper' templates instead of any Genshin Impact/Furina content; likely IP content gap.,high,P0
q007,meme格式国风梗图模板,https://www.curify-ai.com/search?q=meme%E6%A0%BC%E5%BC%8F%E5%9B%BD%E9%A3%8E%E6%A2%97%E5%9B%BE%E6%A8%A1%E6%9D%BF,yes,no,10,yuan dynasty | khmer sampot chong kben | north african djellaba kaftan | wedding day ceremony | Andrew Tate (Top G) viral meme sticker pack & merch collection | Cristiano Ronaldo (CR7) viral meme sticker pack & merch collection | Elon Musk (Tech Meme) viral meme sticker pack & merch collection | Celebrity Viral Meme Sticker Pack + Merchandise Collection Poster | Celebrity Viral Meme Sticker Pack + Merchandise Collection Poster | Celebrity Viral Meme Sticker Pack + Merchandise Collection Poster, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template | template | template,"Few results for “meme格式国风梗图模板”. Also showing results for: meme template Chinese style, traditional meme format, cultural meme template",query_broadened_by_curify;possible_filtering_issue,yes,WARN,missing_content_type;bad_relevance,Celebrity 'viral meme sticker pack' results match the general meme concept but miss the '国风' (Chinese-style) qualifier entirely.,medium,P1
q008,weirdcore aesthetic sticker design,https://www.curify-ai.com/search?q=weirdcore%20aesthetic%20sticker%20design,yes,no,10,Bronze worker mythical beast | Tang horse figurine ride-share driver | Office plant succulent buddy | Andrew Tate (Top G) viral meme sticker pack & merch collection | Cristiano Ronaldo (CR7) viral meme sticker pack & merch collection | Elon Musk (Tech Meme) viral meme sticker pack & merch collection | Brazil National Team | Argentina National Team | France National Team | blessing dragon, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “weirdcore aesthetic sticker design”. Also showing results for: weirdcore sticker pack, weirdcore aesthetic design, surreal sticker art",query_broadened_by_curify,yes,FAIL,wrong_decomposition;bad_relevance,"Results (mythical-beast figurine, celebrity meme stickers, national flags) show no connection to the 'weirdcore' aesthetic; the style qualifier was dropped.",high,P0
q009,低饱和国风茶包装设计,https://www.curify-ai.com/search?q=%E4%BD%8E%E9%A5%B1%E5%92%8C%E5%9B%BD%E9%A3%8E%E8%8C%B6%E5%8C%85%E8%A3%85%E8%AE%BE%E8%AE%A1,yes,no,10,Organic Rolled Oats | Double Chocolate Cookies | Italian Pasta Sauce | arabica coffee beans | artisan aged cheese | extra virgin olive oil | eyemask | musical instrument | pendant | vtol uav drone, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,wrong_decomposition;bad_relevance;missing_content_type,"Results are generic food/product items (oats, cookies, pasta sauce); no tea or Chinese-style packaging content returned despite 10 results.",high,P0
q010,光与夜之恋 卡面设计参考图,https://www.curify-ai.com/search?q=%E5%85%89%E4%B8%8E%E5%A4%9C%E4%B9%8B%E6%81%8B%20%E5%8D%A1%E9%9D%A2%E8%AE%BE%E8%AE%A1%E5%8F%82%E8%80%83%E5%9B%BE,yes,no,10,leo | la land | quiet night thoughts | en-zh | en-zh | night routine | AI/ML Job Orchestration | Kubernetes Deployment Stack | LLM Inference Stack | Layered Systems Architecture Poster, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template,"Few results for “光与夜之恋 卡面设计参考图”. Also showing results for: Light and Night character design, Light and Night visual reference, 光与夜之恋 character art",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,wrong_decomposition;bad_relevance;competitor_gap,Results are unrelated tech-infrastructure templates and generic 'night' content; no content for this mobile game IP.,high,P0
