query_id,query,language,scenario,category,reason
V001,玩具,zh,creative_merch,toy,任务 Creative/Merch 场景正面示例词，具体实物
V002,toy,en,creative_merch,toy,任务 Creative/Merch 场景正面示例词，具体实物
V003,手办,zh,creative_merch,figure,任务 Creative/Merch 场景正面示例词，具体实物
V004,figure,en,creative_merch,figure,任务 Creative/Merch 场景正面示例词，具体实物
V005,毛绒玩具,zh,creative_merch,plush,任务 Creative/Merch 场景正面示例词，具体实物
V006,plush,en,creative_merch,plush,任务 Creative/Merch 场景正面示例词，具体实物
V007,娃娃,zh,creative_merch,doll,任务 Creative/Merch 场景正面示例词，具体实物
V008,doll,en,creative_merch,doll,任务 Creative/Merch 场景正面示例词，具体实物
V009,吉祥物,zh,creative_merch,mascot,任务 Creative/Merch 场景正面示例词，具体实物
V010,mascot,en,creative_merch,mascot,任务 Creative/Merch 场景正面示例词，具体实物
V011,卡通形象,zh,creative_merch,character,任务 Creative/Merch 场景正面示例词，具体实物
V012,character,en,creative_merch,character,任务 Creative/Merch 场景正面示例词，具体实物
V013,贴纸,zh,creative_merch,sticker,任务 Creative/Merch 场景正面示例词，具体实物
V014,sticker,en,creative_merch,sticker,任务 Creative/Merch 场景正面示例词，具体实物
V015,钥匙扣,zh,creative_merch,keychain,任务 Creative/Merch 场景正面示例词，具体实物
V016,keychain,en,creative_merch,keychain,任务 Creative/Merch 场景正面示例词，具体实物
V017,收藏品,zh,creative_merch,collectible,任务 Creative/Merch 场景正面示例词，具体实物
V018,collectible,en,creative_merch,collectible,任务 Creative/Merch 场景正面示例词，具体实物
V019,盲盒,zh,creative_merch,blind_box,任务 Creative/Merch 场景正面示例词，具体实物
V020,blind box,en,creative_merch,blind_box,任务 Creative/Merch 场景正面示例词，具体实物
V021,动作人偶,zh,creative_merch,figure,具体收藏玩具实物，视觉目标清晰
V022,action figure,en,creative_merch,figure,具体收藏玩具实物，视觉目标清晰
V023,泰迪熊,zh,creative_merch,plush,具体玩偶实物，视觉目标清晰
V024,teddy bear,en,creative_merch,plush,具体玩偶实物，视觉目标清晰
V025,扭蛋,zh,creative_merch,blind_box,具体收藏玩具实物，视觉目标清晰，盲盒/扭蛋同类机制
V026,capsule toy,en,creative_merch,blind_box,具体收藏玩具实物，视觉目标清晰，盲盒/扭蛋同类机制
V027,卡牌,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V028,trading card,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V029,模型,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V030,model kit,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V031,雕像,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V032,statue,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰
V033,帆布袋,zh,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰
V034,tote bag,en,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰
V035,手机壳,zh,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰
V036,phone case,en,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰
V037,徽章,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V038,badge,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V039,胸针,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V040,enamel pin,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V041,冰箱贴,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V042,magnet,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V043,挂绳,zh,creative_merch,merch_item,具体周边实物，视觉目标清晰
V044,lanyard,en,creative_merch,merch_item,具体周边实物，视觉目标清晰
V045,迷你手办,zh,creative_merch,figure,具体收藏玩具实物，视觉目标清晰
V046,mini figure,en,creative_merch,figure,具体收藏玩具实物，视觉目标清晰
V047,潮流公仔,zh,creative_merch,collectible,具体潮玩收藏品实物，视觉目标清晰
V048,vinyl toy,en,creative_merch,collectible,具体潮玩收藏品实物，视觉目标清晰
V049,潮流手办,zh,creative_merch,figure,具体潮玩收藏品实物，视觉目标清晰
V050,pop figure,en,creative_merch,figure,具体潮玩收藏品实物，视觉目标清晰
V051,惊喜盒子,zh,creative_merch,blind_box,具体收藏玩具购买形式实物，视觉目标清晰
V052,mystery box,en,creative_merch,blind_box,具体收藏玩具购买形式实物，视觉目标清晰
V053,挂件,zh,creative_merch,merch_item,具体周边实物，视觉目标清晰
V054,charm,en,creative_merch,merch_item,具体周边实物，视觉目标清晰
V055,马克杯,zh,creative_merch,merch_item,具体品牌/IP 周边实物，视觉目标清晰
V056,collectible mug,en,creative_merch,merch_item,具体品牌/IP 周边实物，视觉目标清晰
V057,抱枕,zh,creative_merch,merch_item,具体IP周边实物，视觉目标清晰
V058,plush pillow,en,creative_merch,merch_item,具体IP周边实物，视觉目标清晰
V059,拼图,zh,creative_merch,collectible,具体收藏/益智类实物，视觉目标清晰
V060,puzzle,en,creative_merch,collectible,具体收藏/益智类实物，视觉目标清晰
V061,积木,zh,creative_merch,collectible,具体收藏/拼砌类实物，视觉目标清晰
V062,building blocks,en,creative_merch,collectible,具体收藏/拼砌类实物，视觉目标清晰
V063,公仔盒,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V064,sticker pack,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰
V065,文创手办,zh,creative_merch,figure,文创/文博类周边实物，覆盖 Creative/Cultural 需求
V066,cultural relic figure,en,creative_merch,figure,文创/文博类周边实物，覆盖 Creative/Cultural 需求
V067,博物馆文创,zh,creative_merch,merch_item,文博文创类周边实物，覆盖 Cultural/Merch 需求
V068,museum souvenir,en,creative_merch,merch_item,文博文创类周边实物，覆盖 Cultural/Merch 需求
V069,国潮公仔,zh,creative_merch,figure,国风/国潮IP周边实物，覆盖 Creative/Cultural 需求
V070,IP figure,en,creative_merch,figure,国风/国潮IP周边实物，覆盖 Creative/Cultural 需求
V071,动漫周边,zh,creative_merch,merch_item,二次元周边实物，覆盖 Creative/Merch 需求
V072,anime merch,en,creative_merch,merch_item,二次元周边实物，覆盖 Creative/Merch 需求
V073,明信片套装,zh,creative_merch,merch_item,文创周边实物，覆盖 Creative/Cultural 需求
V074,postcard set,en,creative_merch,merch_item,文创周边实物，覆盖 Creative/Cultural 需求
V075,艺术微喷,zh,creative_merch,collectible,艺术衍生品实物，覆盖 Creative/Merch 需求
V076,art print,en,creative_merch,collectible,艺术衍生品实物，覆盖 Creative/Merch 需求
V077,摇头公仔,zh,creative_merch,collectible,具体收藏玩具实物，视觉目标清晰
V078,bobblehead,en,creative_merch,collectible,具体收藏玩具实物，视觉目标清晰
V079,场景模型,zh,creative_merch,collectible,具体收藏模型实物，视觉目标清晰
V080,diorama,en,creative_merch,collectible,具体收藏模型实物，视觉目标清晰
V081,角色卡通贴纸,zh,creative_merch,sticker,IP角色贴纸周边实物，视觉目标清晰
V082,character sticker pack,en,creative_merch,sticker,IP角色贴纸周边实物，视觉目标清晰
V083,标志,zh,brand_business,logo,任务 Brand/Business 场景正面示例词
V084,logo,en,brand_business,logo,任务 Brand/Business 场景正面示例词
V085,包装,zh,brand_business,package,任务 Brand/Business 场景正面示例词
V086,package,en,brand_business,package,任务 Brand/Business 场景正面示例词
V087,标签,zh,brand_business,label,任务 Brand/Business 场景正面示例词
V088,label,en,brand_business,label,任务 Brand/Business 场景正面示例词
V089,瓶子,zh,brand_business,bottle,任务 Brand/Business 场景正面示例词
V090,bottle,en,brand_business,bottle,任务 Brand/Business 场景正面示例词
V091,菜单,zh,brand_business,menu,任务 Brand/Business 场景正面示例词
V092,menu,en,brand_business,menu,任务 Brand/Business 场景正面示例词
V093,名片,zh,brand_business,business_card,任务 Brand/Business 场景正面示例词
V094,business card,en,brand_business,business_card,任务 Brand/Business 场景正面示例词
V095,产品盒,zh,brand_business,product_box,任务 Brand/Business 场景正面示例词
V096,product box,en,brand_business,product_box,任务 Brand/Business 场景正面示例词
V097,咖啡包装,zh,brand_business,package,任务 Brand/Business 场景正面示例词
V098,coffee package,en,brand_business,package,任务 Brand/Business 场景正面示例词
V099,餐厅菜单,zh,brand_business,menu,任务 Brand/Business 场景正面示例词
V100,restaurant menu,en,brand_business,menu,任务 Brand/Business 场景正面示例词
V101,香水瓶,zh,brand_business,bottle,具体品牌资产实物，视觉目标清晰
V102,perfume bottle,en,brand_business,bottle,具体品牌资产实物，视觉目标清晰
V103,香水盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V104,perfume box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V105,茶叶包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V106,tea package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V107,咖啡豆包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V108,coffee bean package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V109,巧克力礼盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V110,chocolate box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V111,护肤品包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V112,skincare package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V113,化妆品包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V114,cosmetic package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V115,酒标,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V116,wine label,en,brand_business,label,具体品牌资产实物，视觉目标清晰
